Name,Team,Age,Baseline,MeanOvr,MeanDelta,StdDelta,MinOvr,MaxOvr,Q10,Q25,Q75,Q90,PctPositive
Jaylen Brown,PHI,25,55.0,55.0,0.000,0.000,55.0,55.0,55.0,55.0,55.0,55.0,0.000
Lorenzo Brown,FA,31,42.0,37.6,-4.355,1.018,35.0,41.0,36.0,37.0,38.0,39.0,0.000
Markel Brown,BOS,29,45.0,42.3,-2.701,2.254,39.0,60.0,41.0,41.0,43.0,44.0,0.019
Nicolás Brussino,PHI,28,44.0,41.5,-2.531,2.637,38.0,59.0,40.0,40.0,42.0,43.0,0.026
Reggie Bullock,ORL,30,56.0,54.8,-1.223,0.619,53.0,56.0,54.0,54.0,55.0,55.0,0.000
Trey Burke,BOS,29,65.0,65.7,0.697,0.745,64.0,68.0,65.0,65.0,66.0,67.0,0.604
Dwight Buycks,LAL,32,40.0,33.9,-6.131,0.648,32.0,36.0,33.0,33.0,34.0,35.0,0.000
Bruno Caboclo,BOS,26,58.0,57.1,-0.864,1.480,55.0,69.0,56.0,56.0,57.0,58.0,0.027
Nick Calathes,NOL,32,42.0,35.7,-6.347,0.784,34.0,38.0,35.0,35.0,36.0,37.0,0.000
Kentavious Caldwell-Pope,FA,28,42.0,39.9,-2.145,2.791,36.0,57.0,38.0,39.0,40.0,41.0,0.029
Michael Carter-Williams,TOR,30,63.0,63.2,0.213,0.659,61.0,65.0,62.0,63.0,64.0,64.0,0.321
Willie Cauley-Stein,DEN,28,56.0,56.4,0.440,1.440,54.0,67.0,55.0,56.0,57.0,57.0,0.374
Coty Clarke,FA,29,53.0,49.9,-3.143,1.733,46.0,62.0,48.0,49.0,50.0,51.0,0.016
Ian Clark,FA,30,42.0,39.7,-2.274,0.940,37.0,42.0,39.0,39.0,40.0,41.0,0.000
Jordan Clarkson,POR,29,63.0,63.2,0.153,0.646,62.0,65.0,62.0,63.0,64.0,64.0,0.281
Pat Connaughton,NYK,28,46.0,41.9,-4.126,2.184,39.0,59.0,40.0,41.0,42.0,43.0,0.015
Quinn Cook,LAL,28,40.0,36.7,-3.336,2.569,34.0,56.0,35.0,36.0,37.0,38.0,0.020
Bryce Cotton,FA,29,38.0,36.6,-1.415,2.267,34.0,55.0,35.0,36.0,37.0,38.0,0.029
Allen Crabbe,FA,29,35.0,32.9,-2.108,2.308,30.0,53.0,31.0,32.0,33.0,34.0,0.019
Jae Crowder (PO),LAL,31,64.0,63.3,-0.745,0.585,62.0,65.0,63.0,63.0,64.0,64.0,0.003
Troy Daniels,FA,30,45.0,42.6,-2.381,0.918,40.0,45.0,41.0,42.0,43.0,44.0,0.000
Brandon Davies,FA,30,48.0,46.8,-1.156,1.052,44.0,50.0,45.0,46.0,48.0,48.0,0.051
Anthony Davis,CLE,28,71.0,72.1,1.112,0.736,70.0,74.0,71.0,72.0,73.0,73.0,0.819
Deyonta Davis,DAL,25,34.0,34.0,0.000,0.000,34.0,34.0,34.0,34.0,34.0,34.0,0.000
Andre Dawkins,FA,30,43.0,40.7,-2.271,0.896,39.0,43.0,40.0,40.0,41.0,42.0,0.000
Branden Dawson,MIL,28,48.0,45.2,-2.765,1.875,42.0,60.0,44.0,44.0,46.0,46.0,0.014
Nando De Colo,POR,34,61.0,59.6,-1.404,0.580,58.0,61.0,59.0,59.0,60.0,60.0,0.000
Bryce Dejean-Jones,HOU,29,34.0,31.3,-2.714,2.365,29.0,50.0,30.0,30.0,31.0,32.0,0.022
Sam Dekker,TOR,27,56.0,54.1,-1.945,1.849,51.0,66.0,53.0,53.0,54.0,55.0,0.027
Cheick Diallo,HOU,25,45.0,45.0,0.000,0.000,45.0,45.0,45.0,45.0,45.0,45.0,0.000
Gorgui Dieng,GSW,31,51.0,45.9,-5.111,1.090,43.0,49.0,45.0,45.0,47.0,47.0,0.000
Spencer Dinwiddie,ORL,28,53.0,51.7,-1.344,1.456,48.0,62.0,50.0,51.0,52.0,53.0,0.048
